part.age.cat,cont.age.cat,wM,wF,w,mMM,mFM,mMF,mFF,m,cMM,cFM,cMF,cFF,c
"[35,40)","[5,10)",510917,487660,998577,0.367752647,0.403143852,0.241558619,0.523780358,0.766123727,7.20E-07,7.89E-07,4.95E-07,1.07E-06,7.67E-07
"[40,45)","[5,10)",510917,487660,998577,0.364560305,0.354867723,0.277476672,0.383694493,0.689646635,7.14E-07,6.95E-07,5.69E-07,7.87E-07,6.91E-07
"[45,50)","[5,10)",510917,487660,998577,0.237833839,0.152760179,0.131253142,0.161158777,0.341734074,4.66E-07,2.99E-07,2.69E-07,3.30E-07,3.42E-07
"[50,55)","[5,10)",510917,487660,998577,0.095902404,0.081344987,0.076873897,0.111934222,0.182947879,1.88E-07,1.59E-07,1.58E-07,2.30E-07,1.83E-07
"[55,60)","[5,10)",510917,487660,998577,0.066670632,0.088649126,0.082878406,0.128963539,0.183217822,1.30E-07,1.74E-07,1.70E-07,2.64E-07,1.83E-07
"[60,65)","[5,10)",510917,487660,998577,0.084342838,0.108666294,0.130827982,0.144383349,0.234040306,1.65E-07,2.13E-07,2.68E-07,2.96E-07,2.34E-07
"[65,70)","[5,10)",510917,487660,998577,0.072631561,0.092819356,0.126558792,0.179188012,0.236553926,1.42E-07,1.82E-07,2.60E-07,3.67E-07,2.37E-07
"[70,75)","[5,10)",510917,487660,998577,0.039027554,0.071326493,0.102467278,0.141994249,0.180308529,7.64E-08,1.40E-07,2.10E-07,2.91E-07,1.81E-07
"[75,80)","[5,10)",510917,487660,998577,0.014914687,0.045269747,0.0650497,0.061590039,0.095758061,2.92E-08,8.86E-08,1.33E-07,1.26E-07,9.59E-08
"[0,5)","[10,15)",510266,487589,997855,0.066787322,0.106115113,0.072858325,0.122211741,0.182954727,1.31E-07,2.08E-07,1.49E-07,2.51E-07,1.83E-07
"[5,10)","[10,15)",510266,487589,997855,0.596621631,0.372090967,0.261330686,0.601109164,0.914234155,1.17E-06,7.29E-07,5.36E-07,1.23E-06,9.16E-07
"[10,15)","[10,15)",510266,487589,997855,3.174940596,1.389159078,1.32740985,3.460059566,4.671843125,6.22E-06,2.72E-06,2.72E-06,7.10E-06,4.68E-06
"[15,20)","[10,15)",510266,487589,997855,0.731146337,0.401491586,0.320917249,0.602819998,1.028710425,1.43E-06,7.87E-07,6.58E-07,1.24E-06,1.03E-06
"[20,25)","[10,15)",510266,487589,997855,0.089806475,0.055619675,0.067449186,0.08045127,0.146774985,1.76E-07,1.09E-07,1.38E-07,1.65E-07,1.47E-07
"[25,30)","[10,15)",510266,487589,997855,0.045838943,0.041727105,0.042926811,0.075300702,0.102859554,8.98E-08,8.18E-08,8.80E-08,1.54E-07,1.03E-07
"[30,35)","[10,15)",510266,487589,997855,0.060320345,0.067578369,0.055730365,0.102368448,0.142959429,1.18E-07,1.32E-07,1.14E-07,2.10E-07,1.43E-07
"[35,40)","[10,15)",510266,487589,997855,0.128013906,0.159165562,0.133126402,0.204068488,0.311546223,2.51E-07,3.12E-07,2.73E-07,4.19E-07,3.12E-07
"[40,45)","[10,15)",510266,487589,997855,0.264480319,0.333591255,0.24863462,0.393770483,0.618789028,5.18E-07,6.54E-07,5.10E-07,8.08E-07,6.20E-07
"[45,50)","[10,15)",510266,487589,997855,0.314462013,0.247025304,0.241644214,0.253096529,0.528348556,6.16E-07,4.84E-07,4.96E-07,5.19E-07,5.29E-07
"[50,55)","[10,15)",510266,487589,997855,0.155414886,0.117154467,0.13493775,0.095610786,0.251861213,3.05E-07,2.30E-07,2.77E-07,1.96E-07,2.52E-07
"[55,60)","[10,15)",510266,487589,997855,0.05321231,0.047364011,0.082972433,0.052071568,0.11800617,1.04E-07,9.28E-08,1.70E-07,1.07E-07,1.18E-07
"[60,65)","[10,15)",510266,487589,997855,0.038506105,0.038175762,0.074335327,0.06354815,0.107303195,7.55E-08,7.48E-08,1.52E-07,1.30E-07,1.08E-07
"[65,70)","[10,15)",510266,487589,997855,0.040956333,0.042015862,0.081776065,0.109014051,0.137252305,8.03E-08,8.23E-08,1.68E-07,2.24E-07,1.38E-07
"[70,75)","[10,15)",510266,487589,997855,0.028550349,0.050852134,0.098999927,0.132630218,0.157775172,5.60E-08,9.97E-08,2.03E-07,2.72E-07,1.58E-07
"[75,80)","[10,15)",510266,487589,997855,0.015442578,0.054311919,0.083968118,0.131186902,0.14996387,3.03E-08,1.06E-07,1.72E-07,2.69E-07,1.50E-07
"[0,5)","[15,20)",506372,484670,991042,0.025171191,0.031824138,0.054809055,0.051327142,0.081528878,4.97E-08,6.28E-08,1.13E-07,1.06E-07,8.23E-08
"[5,10)","[15,20)",506372,484670,991042,0.072227444,0.069288715,0.080688825,0.081729705,0.151989445,1.43E-07,1.37E-07,1.66E-07,1.69E-07,1.53E-07
"[10,15)","[15,20)",506372,484670,991042,0.725575395,0.333281212,0.381351336,0.599214835,1.021693422,1.43E-06,6.58E-07,7.87E-07,1.24E-06,1.03E-06
"[15,20)","[15,20)",506372,484670,991042,2.021157128,1.053569989,1.008407622,2.298023501,3.187053201,3.99E-06,2.08E-06,2.08E-06,4.74E-06,3.22E-06
"[20,25)","[15,20)",506372,484670,991042,0.310400806,0.128479822,0.336295615,0.344931273,0.560967294,6.13E-07,2.54E-07,6.94E-07,7.12E-07,5.66E-07
"[25,30)","[15,20)",506372,484670,991042,0.097407423,0.048986703,0.112144188,0.088209193,0.173469061,1.92E-07,9.67E-08,2.31E-07,1.82E-07,1.75E-07
"[30,35)","[15,20)",506372,484670,991042,0.07027959,0.042602549,0.064306505,0.068720232,0.122971415,1.39E-07,8.41E-08,1.33E-07,1.42E-07,1.24E-07
"[35,40)","[15,20)",506372,484670,991042,0.083727337,0.061169462,0.073240588,0.101471573,0.159768863,1.65E-07,1.21E-07,1.51E-07,2.09E-07,1.61E-07
"[40,45)","[15,20)",506372,484670,991042,0.13897977,0.148720259,0.126267963,0.247482636,0.329839445,2.74E-07,2.94E-07,2.61E-07,5.11E-07,3.33E-07
"[45,50)","[15,20)",506372,484670,991042,0.22768041,0.328048609,0.196140014,0.305172628,0.527643626,4.50E-07,6.48E-07,4.05E-07,6.30E-07,5.32E-07
"[50,55)","[15,20)",506372,484670,991042,0.17255063,0.218441356,0.174438473,0.153829089,0.359531282,3.41E-07,4.31E-07,3.60E-07,3.17E-07,3.63E-07
"[55,60)","[15,20)",506372,484670,991042,0.062320086,0.059258934,0.091551309,0.043241092,0.128459709,1.23E-07,1.17E-07,1.89E-07,8.92E-08,1.30E-07
"[60,65)","[15,20)",506372,484670,991042,0.029662773,0.023125251,0.062419791,0.030415439,0.072882776,5.86E-08,4.57E-08,1.29E-07,6.28E-08,7.35E-08
"[65,70)","[15,20)",506372,484670,991042,0.021718972,0.019673904,0.045247854,0.054125862,0.070472916,4.29E-08,3.89E-08,9.34E-08,1.12E-07,7.11E-08
"[70,75)","[15,20)",506372,484670,991042,0.018805564,0.029114145,0.054015705,0.111159486,0.109271563,3.71E-08,5.75E-08,1.11E-07,2.29E-07,1.10E-07
"[75,80)","[15,20)",506372,484670,991042,0.024357715,0.051523527,0.063241994,0.23973308,0.207192307,4.81E-08,1.02E-07,1.30E-07,4.95E-07,2.09E-07
"[0,5)","[20,25)",487458,477286,964744,0.026402248,0.031975801,0.138824269,0.073565344,0.136078081,5.42E-08,6.56E-08,2.91E-07,1.54E-07,1.41E-07
"[5,10)","[20,25)",487458,477286,964744,0.034904224,0.033808157,0.075337101,0.063278692,0.103817272,7.16E-08,6.94E-08,1.58E-07,1.33E-07,1.08E-07
"[10,15)","[20,25)",487458,477286,964744,0.08579225,0.067431027,0.052024802,0.078751342,0.141904656,1.76E-07,1.38E-07,1.09E-07,1.65E-07,1.47E-07
"[15,20)","[20,25)",487458,477286,964744,0.298807311,0.338231563,0.121100014,0.339678703,0.5460839,6.13E-07,6.94E-07,2.54E-07,7.12E-07,5.66E-07
"[20,25)","[20,25)",487458,477286,964744,0.424829969,0.512246957,0.501558826,0.653494514,1.044803298,8.72E-07,1.05E-06,1.05E-06,1.37E-06,1.08E-06
"[25,30)","[20,25)",487458,477286,964744,0.240560419,0.153084912,0.497126435,0.223281382,0.557502506,4.93E-07,3.14E-07,1.04E-06,4.68E-07,5.78E-07
"[30,35)","[20,25)",487458,477286,964744,0.149735085,0.08259407,0.170357831,0.131625607,0.267233564,3.07E-07,1.69E-07,3.57E-07,2.76E-07,2.77E-07
"[35,40)","[20,25)",487458,477286,964744,0.128717373,0.049834848,0.084640605,0.109856907,0.186861789,2.64E-07,1.02E-07,1.77E-07,2.30E-07,1.94E-07
